country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","20-04-2026 21:00:00",22.4310,75.5213,PM10,60,115,92
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","20-04-2026 21:00:00",22.4310,75.5213,OZONE,3,21,11
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","20-04-2026 21:00:00",22.7524,75.8872,PM10,24,74,46
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","20-04-2026 21:00:00",22.7524,75.8872,OZONE,12,18,16
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","20-04-2026 21:00:00",22.6780,75.8559,NO2,16,21,18
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","20-04-2026 21:00:00",22.6780,75.8559,NH3,1,5,2
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","20-04-2026 21:00:00",22.7084,75.8815,SO2,6,9,8
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","20-04-2026 21:00:00",12.920984,77.584908,OZONE,9,50,37
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","20-04-2026 21:00:00",12.7816279,77.6299145,SO2,18,19,18
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","20-04-2026 21:00:00",13.003872,77.664217,NH3,4,4,4
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","20-04-2026 21:00:00",12.921418,77.502466,CO,10,32,15
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","20-04-2026 21:00:00",13.0246342,77.5080115,PM2.5,27,40,33
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","20-04-2026 21:00:00",13.328028,75.797056,PM10,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","20-04-2026 21:00:00",13.328028,75.797056,OZONE,14,52,52
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","20-04-2026 21:00:00",15.459706,75.008381,PM2.5,65,112,78
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","20-04-2026 21:00:00",15.459706,75.008381,SO2,4,8,7
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","20-04-2026 21:00:00",15.459706,75.008381,CO,42,71,57
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","20-04-2026 21:00:00",11.55358,76.55521,PM10,32,73,48
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","20-04-2026 21:00:00",11.55358,76.55521,NH3,1,2,2
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","20-04-2026 21:00:00",19.875620,75.387310,NH3,2,6,3
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","20-04-2026 21:00:00",19.875620,75.387310,CO,6,12,9
